"","disease","state_name","percent_decline","accrual_years","accrual_label","baseline_coverage","cases","additional_cases","cases_per_100k","additional_cases_per_100k","hospitalizations","additional_hospitalizations","hospitalizations_per_100k","additional_hospitalizations_per_100k","deaths","additional_deaths","deaths_per_100k","additional_deaths_per_100k","workdays_lost","additional_workdays_lost","workdays_lost_per_100k","additional_workdays_lost_per_100k","productivity_cost","additional_productivity_cost","productivity_cost_per_100k","additional_productivity_cost_per_100k","hospitalization_cost","additional_hospitalization_cost","hospitalization_cost_per_100k","additional_hospitalization_cost_per_100k","total_cost","additional_total_cost","total_cost_per_100k","additional_total_cost_per_100k"
"6291","Pneumococcal","Vermont",16,1,"1 Year",0.887,1.89322579083743,1.89322579083743,6.74874626898167,6.74874626898167,1.89322579083743,1.89322579083743,6.74874626898167,6.74874626898167,0.069865785334811,0.069865785334811,0.249049247263433,0.249049247263433,15.1458063266994,15.1458063266994,53.9899701518533,53.9899701518533,3029.16126533988,3029.16126533988,10797.9940303707,10797.9940303707,36031.8732512179,36031.8732512179,128442.138991259,128442.138991259,39061.0345165578,39061.0345165578,139240.13302163,139240.13302163
"6292","Pneumococcal","Vermont",16,5,"5 Years",0.887,6.30423888958734,6.30423888958734,22.4726014671776,22.4726014671776,6.30423888958734,6.30423888958734,22.4726014671776,22.4726014671776,0.23264557407305,0.23264557407305,0.829307290033328,0.829307290033328,50.4339111166988,50.4339111166988,179.780811737421,179.780811737421,10086.7822233398,10086.7822233398,35956.1623474842,35956.1623474842,119982.274546626,119982.274546626,427698.551123325,427698.551123325,130069.056769966,130069.056769966,463654.713470809,463654.713470809
"6293","Pneumococcal","Vermont",17,1,"1 Year",0.887,1.99611723743786,1.99611723743786,7.11552146807063,7.11552146807063,1.99611723743786,1.99611723743786,7.11552146807063,7.11552146807063,0.073662792409067,0.073662792409067,0.262584366766717,0.262584366766717,15.9689378995028,15.9689378995028,56.9241717445651,56.9241717445651,3193.78757990057,3193.78757990057,11384.834348913,11384.834348913,37990.1032629173,37990.1032629173,135422.60458032,135422.60458032,41183.8908428178,41183.8908428178,146807.438929233,146807.438929233
"6294","Pneumococcal","Vermont",17,5,"5 Years",0.887,6.5274231559367,6.5274231559367,23.2681822120155,23.2681822120155,6.5274231559367,6.5274231559367,23.2681822120155,23.2681822120155,0.240881751774799,0.240881751774799,0.858666637346446,0.858666637346446,52.2193852474936,52.2193852474936,186.145457696124,186.145457696124,10443.8770494987,10443.8770494987,37229.0915392247,37229.0915392247,124229.917503787,124229.917503787,442840.043859078,442840.043859078,134673.794553286,134673.794553286,480069.135398303,480069.135398303
"6295","Pneumococcal","Vermont",18,1,"1 Year",0.887,2.09741128501018,2.09741128501018,7.47660244897221,7.47660244897221,2.09741128501018,2.09741128501018,7.47660244897221,7.47660244897221,0.0774008506045723,0.0774008506045723,0.275909352313736,0.275909352313736,16.7792902800814,16.7792902800814,59.8128195917777,59.8128195917777,3355.85805601628,3355.85805601628,11962.5639183555,11962.5639183555,39917.9315763137,39917.9315763137,142294.697808839,142294.697808839,43273.7896323299,43273.7896323299,154257.261727195,154257.261727195
"6296","Pneumococcal","Vermont",18,5,"5 Years",0.887,6.7394939810685,6.7394939810685,24.0241470825527,24.0241470825527,6.7394939810685,6.7394939810685,24.0241470825527,24.0241470825527,0.248707809721052,0.248707809721052,0.886564038502305,0.886564038502305,53.915951848548,53.915951848548,192.193176660421,192.193176660421,10783.1903697096,10783.1903697096,38438.6353320843,38438.6353320843,128266.049447696,128266.049447696,457227.567275142,457227.567275142,139049.239817405,139049.239817405,495666.202607227,495666.202607227
"6297","Pneumococcal","Vermont",19,1,"1 Year",0.887,2.19714484666162,2.19714484666162,7.83212079514356,7.83212079514356,2.19714484666162,2.19714484666162,7.83212079514356,7.83212079514356,0.0810813221271655,0.0810813221271655,0.289029059733952,0.289029059733952,17.577158773293,17.577158773293,62.6569663611485,62.6569663611485,3515.43175465859,3515.43175465859,12531.3932722297,12531.3932722297,41816.060721664,41816.060721664,149060.922973172,149060.922973172,45331.4924763226,45331.4924763226,161592.316245402,161592.316245402
"6298","Pneumococcal","Vermont",19,5,"5 Years",0.887,6.94126128919444,6.94126128919444,24.7433832003509,24.7433832003509,6.94126128919444,6.94126128919444,24.7433832003509,24.7433832003509,0.25615363657664,0.25615363657664,0.913106037060706,0.913106037060706,55.5300903135555,55.5300903135555,197.947065602807,197.947065602807,11106.0180627111,11106.0180627111,39589.4131205615,39589.4131205615,132106.084855949,132106.084855949,470916.069069078,470916.069069078,143212.10291866,143212.10291866,510505.48218964,510505.48218964
"6299","Pneumococcal","Vermont",20,1,"1 Year",0.887,2.29535370686294,2.29535370686294,8.18220406681259,8.18220406681259,2.29535370686294,2.29535370686294,8.18220406681259,8.18220406681259,0.0847055275325685,0.0847055275325685,0.30194819638744,0.30194819638744,18.3628296549035,18.3628296549035,65.4576325345007,65.4576325345007,3672.5659309807,3672.5659309807,13091.5265069001,13091.5265069001,43685.1717490154,43685.1717490154,155723.707799577,155723.707799577,47357.7376799961,47357.7376799961,168815.234306477,168815.234306477
"6300","Pneumococcal","Vermont",20,5,"5 Years",0.887,7.1334581702694,7.1334581702694,25.4285037973457,25.4285037973457,7.1334581702694,7.1334581702694,25.4285037973457,25.4285037973457,0.263246285588813,0.263246285588813,0.938389069221876,0.938389069221876,57.0676653621552,57.0676653621552,203.428030378766,203.428030378766,11413.533072431,11413.533072431,40685.6060757532,40685.6060757532,135763.975896567,135763.975896567,483955.284271084,483955.284271084,147177.508968998,147177.508968998,524640.890346837,524640.890346837
"6301","Pneumococcal","Virginia",0,1,"1 Year",0.831,53.4967959839102,0,10.8013018839629,0,53.4967959839102,0,10.8013018839629,0,1.97419435251767,0,0.398600865471857,0,427.974367871282,0,86.4104150717031,0,85594.8735742563,0,17282.0830143406,0,1018151.02116578,0,205570.377455582,0,1103745.89474004,0,222852.460469922,0
"6302","Pneumococcal","Virginia",0,5,"5 Years",0.831,53.4967959839102,0,10.8013018839629,0,53.4967959839102,0,10.8013018839629,0,1.97419435251767,0,0.398600865471857,0,427.974367871282,0,86.4104150717031,0,85594.8735742563,0,17282.0830143406,0,1018151.02116578,0,205570.377455582,0,1103745.89474004,0,222852.460469922,0
"6303","Pneumococcal","Virginia",1,1,"1 Year",0.831,55.0139128708016,1.51711688689142,11.1076162563881,0.306314372425234,55.0139128708016,1.51711688689142,11.1076162563881,0.306314372425234,2.03018057627415,0.055986223756485,0.409904796726334,0.0113039312544767,440.111302966413,12.1369350951314,88.8609300511049,2.45051497940187,88022.2605932826,2427.38701902627,17772.186010221,490.102995880373,1047024.7897571,28873.7685913176,211400.152591579,5829.77513599706,1135047.05035038,31301.1556103437,229172.3386018,6319.87813187739
"6304","Pneumococcal","Virginia",1,5,"5 Years",0.831,60.8714114859049,7.37461550199471,12.2902779403823,1.48897605641943,60.8714114859049,7.37461550199471,12.2902779403823,1.48897605641943,2.24634007654208,0.272145724024407,0.453548607061865,0.0549477415900079,486.971291887239,58.9969240159577,98.3222235230585,11.9118084513554,97394.2583774479,11799.3848031915,19664.4447046117,2382.36169027109,1158504.70339974,140353.682233963,233908.569761356,28338.1923057746,1255898.96177719,152153.067037155,253573.014465968,30720.5539960457
"6305","Pneumococcal","Virginia",2,1,"1 Year",0.831,56.5094834325084,3.01268744859825,11.4095803054243,0.608278421461403,56.5094834325084,3.01268744859825,11.4095803054243,0.608278421461403,2.08537167515046,0.111177322632786,0.4210481878268,0.0224473223549432,452.075867460068,24.101499588786,91.2766424433943,4.86622737169122,90415.1734920135,4820.29991775721,18255.3284886789,973.245474338245,1075488.4886875,57337.467521722,217147.132372835,11576.7549172534,1165903.66217951,62157.767439479,235402.460861514,12550.0003915916
"6306","Pneumococcal","Virginia",2,5,"5 Years",0.831,67.7505001154707,14.2537041315605,13.6792043537852,2.87790246982228,67.7505001154707,14.2537041315605,13.6792043537852,2.87790246982228,2.50019935303112,0.526005000513447,0.504804212766312,0.106203347294455,542.004000923765,114.029633052484,109.433634830281,23.0232197585782,108400.800184753,22805.9266104968,21886.7269660563,4604.64395171564,1289427.51819764,271276.497031859,260342.617261239,54772.2398056576,1397828.31838239,294082.423642355,282229.344227295,59376.8837573732
"6307","Pneumococcal","Virginia",3,1,"1 Year",0.831,57.9839634388639,4.48716745495374,11.7072860535462,0.905984169583275,57.9839634388639,4.48716745495374,11.7072860535462,0.905984169583275,2.13978446843854,0.165590115920869,0.432034434682239,0.0334335692103814,463.871707510912,35.8973396396299,93.6582884283692,7.2478733566662,92774.3415021823,7179.46792792599,18731.6576856739,1449.57467133324,1103550.79216846,85399.7710026796,222813.06817109,17242.6907155089,1196325.13367064,92579.2389306054,241544.725856764,18692.2653868421
"6308","Pneumococcal","Virginia",3,5,"5 Years",0.831,74.1823827872373,20.6855868033271,14.9778373867032,4.17653550274028,74.1823827872373,20.6855868033271,14.9778373867032,4.17653550274028,2.73755537058546,0.763361018067788,0.55272771832262,0.154126852850763,593.459062297898,165.484694426617,119.822699093625,33.4122840219223,118691.81245958,33096.9388853234,23964.5398187251,6682.45680438445,1411839.1092067,393688.088040921,285058.201143735,79487.8236881531,1530530.92166628,426785.026926245,309022.74096246,86170.2804925375
"6309","Pneumococcal","Virginia",4,1,"1 Year",0.831,59.4377958951602,5.94099991125001,12.0008229459964,1.19952106203347,59.4377958951602,5.94099991125001,12.0008229459964,1.19952106203347,2.19343530438001,0.219240951862338,0.442866838093932,0.0442659726220747,475.502367161282,47.5279992900001,96.0065835679708,9.59616849626779,95100.4734322563,9505.59985800002,19201.3167135942,1919.23369925356,1131220.13147669,113069.11031091,228399.662308203,22829.2848526211,1226320.60490895,122574.71016891,247600.979021797,24748.5185518746
"6310","Pneumococcal","Virginia",4,5,"5 Years",0.831,80.2092955674136,26.7124995835034,16.1947047367885,5.39340285282565,80.2092955674136,26.7124995835034,16.1947047367885,5.39340285282565,2.95996676840672,0.985772415889055,0.597633821690459,0.199032956218602,641.674364539309,213.699996668027,129.557637894308,43.1472228226052,128334.872907862,42739.9993336055,25911.5275788617,8629.44456452105,1526543.31323902,508392.292073237,308217.620550559,102647.243094978,1654878.18614688,551132.291406843,334129.148129421,111276.687659499
"6311","Pneumococcal","Virginia",5,1,"1 Year",0.831,60.8714114859049,7.37461550199471,12.2902779403823,1.48897605641943,60.8714114859049,7.37461550199471,12.2902779403823,1.48897605641943,2.24634007654208,0.272145724024407,0.453548607061865,0.0549477415900079,486.971291887239,58.9969240159577,98.3222235230585,11.9118084513554,97394.2583774479,11799.3848031915,19664.4447046117,2382.36169027109,1158504.70339974,140353.682233963,233908.569761356,28338.1923057746,1255898.96177719,152153.067037155,253573.014465968,30720.5539960457
"6312","Pneumococcal","Virginia",5,5,"5 Years",0.831,85.8683182402116,32.3715222563014,17.3372930195609,6.53599113559805,85.8683182402116,32.3715222563014,17.3372930195609,6.53599113559805,3.16880190322054,1.19460755070287,0.639798801734882,0.241197936263025,686.946545921693,258.972178050411,138.698344156487,52.2879290847844,137389.309184339,51794.4356100822,27739.6688312975,10457.5858169569,1634245.83274771,616094.811581928,329963.360748284,124392.983292702,1771635.14193205,667889.24719201,357703.029579581,134850.569109659
"6313","Pneumococcal","Virginia",6,1,"1 Year",0.831,62.2852290001921,8.78843301628187,12.575735592561,1.77443370859812,62.2852290001921,8.78843301628187,12.575735592561,1.77443370859812,2.29851423951505,0.324319886997377,0.464082861954132,0.0654819964822751,498.281832001537,70.307464130255,100.605884740488,14.195469668785,99656.3664003073,14061.492826051,20121.1769480976,2839.093933757,1185412.47833166,167261.457165877,239341.399797621,33771.0223420395,1285068.84473196,181322.949991927,259462.576745719,36610.1162757965
